ENV_VALUE,n_iterations,avg_global_time,avg_time_update,avg_time_affichage
1,859,5.4476270000,0.0009346700,0.0051563680
2,859,5.2026280000,0.0006284929,0.0051520590
3,859,4.9318820000,0.0005221671,0.0049387480
4,859,4.8410360000,0.0004946644,0.0048560880
5,859,4.8207730000,0.0005340530,0.0047884010
6,859,5.1528920000,0.0007270926,0.0049531500
7,859,5.3645680000,0.0007796940,0.0051195640
8,859,5.7080790000,0.0008423648,0.0054254620
