ENV_VALUE,n_iterations,avg_global_time,avg_time_update,avg_time_affichage
1,859,4.8597740000,0.0008539830,0.0045760180
2,859,4.6647180000,0.0005958376,0.0045835280
3,859,4.5566760000,0.0004934162,0.0045478720
4,859,4.4102880000,0.0004550884,0.0044176460
5,859,4.4763500000,0.0005205982,0.0044087440
6,859,4.8241800000,0.0006757180,0.0046357260
7,859,5.0982060000,0.0007302126,0.0048689800
8,859,5.0881320000,0.0007421396,0.0048596880
